id,yesterday,today,change,absChange,name,codes
4302,862,836,-26,26,Psychology and the Good Life,PSYC 157 01
4297,305,326,21,21,Introduction to Psychology,PSYC 110 01
4195,183,198,15,15,Constitutional Law,PLSC 233 01
4301,194,185,-9,9,Social Psychology,PSYC 150 01 / EDST 160 01
4303,270,261,-9,9,The Human Brain,PSYC 160 01 / NSCI 160 01
4520,132,141,9,9,How to Build an American Religion,RLST 115 01 / AMST 116 01
4317,123,131,8,8,Learning and Memory,PSYC 376 01 / NSCI 341 01
4605,385,393,8,8,Data Exploration and Analysis,S&DS 230 01
4608,175,167,-8,8,Applied Machine Learning and Causal Inference,S&DS 317 01
4133,102,109,7,7,University Physics,PHYS 181 02
